case,k_pi,nh_from,nh_to,eta,delta_E,delta_Z,spectral_l1,rest_spectral_l1,recursion_l1,reference_certified
B,1.0,18,20,0.2,1.3996618786205062e-06,1.3432990373409004e-06,0.0002649224608805616,0.00027117432435080024,1.8040643507497815e-15,True
C,0.0,10,12,0.05,2.4102672542269943e-06,6.1215455755547765e-06,0.059025096947028066,0.1142456173936018,0.000878388532551183,False
C,0.0,10,12,0.025,2.4102672542269943e-06,6.1215455755547765e-06,0.1383610198175276,0.26936250814621354,0.008003463112194143,False
C,0.0,10,12,0.1,2.4102672542269943e-06,6.1215455755547765e-06,0.023024666967760364,0.04405246722534588,1.4710930526111205e-05,False
C,0.0,10,12,0.2,2.4102672542269943e-06,6.1215455755547765e-06,0.008682988395539454,0.016251038968527805,6.313707107505927e-09,False
C,0.0,12,14,0.05,5.4207980326737015e-08,1.4925444041802294e-07,0.029110430843747172,0.0563594504459915,0.0014419481471520102,False
C,0.0,12,14,0.025,5.4207980326737015e-08,1.4925444041802294e-07,0.09080315459223083,0.17682130824905487,0.010839523536767958,False
C,0.0,12,14,0.1,5.4207980326737015e-08,1.4925444041802294e-07,0.008280071133328204,0.015845894439091537,3.5348388696904125e-05,False
C,0.0,12,14,0.2,5.4207980326737015e-08,1.4925444041802294e-07,0.0024941218119423746,0.00466792745075128,3.3294591229367383e-08,True
C,0.0,14,16,0.05,9.3546459467575e-10,2.7629895593683784e-09,0.015881429428165617,0.030747324105738178,6.846900357266682e-05,False
C,0.0,14,16,0.025,9.3546459467575e-10,2.7629895593683784e-09,0.06490888913711382,0.1263963058378619,0.002079176800934547,False
C,0.0,14,16,0.1,9.3546459467575e-10,2.7629895593683784e-09,0.0035919315057412293,0.006874066012903098,1.1857597840073758e-07,False
C,0.0,14,16,0.2,9.3546459467575e-10,2.7629895593683784e-09,0.0010526567205583635,0.0019701043629179907,7.089141528398773e-13,True
C,0.0,16,18,0.05,1.2877698907232116e-11,4.00572908176855e-11,0.008278662776782474,0.016027750332472807,0.00011006621846622482,False
C,0.0,16,18,0.025,1.2877698907232116e-11,4.00572908176855e-11,0.04492691848221988,0.08748451979737523,0.002765749185679896,False
C,0.0,16,18,0.1,1.2877698907232116e-11,4.00572908176855e-11,0.0013609613587020788,0.0026045135797931715,2.82233396806742e-07,True
