lambda,E0,E0_statistical_se,Z,Z_statistical_se,mass_ratio,mass_ratio_statistical_se
2.500000000000000000e-01,-2.228649531066312139e+00,2.011614972743653966e-04,8.682411823495785885e-01,1.641171521031082508e-03,1.149611641409245433e+00,7.616820715179780689e-03
5.000000000000000000e-01,-2.469771309958258332e+00,3.131564986060570853e-04,7.358793198135435976e-01,2.134554231370750996e-03,1.354315208288252803e+00,1.609602727670118860e-02
